City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Jose De Gracia,MX,2022-06-04 03:14:49,20.6667,-102.5833,68.83,57,97,6.17
68,Vila Franca Do Campo,PT,2022-06-04 03:14:49,37.7167,-25.4333,64.81,94,100,5.12
69,Kutum,SD,2022-06-04 03:14:50,14.2,24.6667,72.82,55,78,4.07
70,Sao Gabriel Da Cachoeira,BR,2022-06-04 03:14:50,-0.1303,-67.0892,72.5,98,98,0.81
71,Tilichiki,RU,2022-06-04 03:14:51,60.4667,166.1,57.97,45,5,6.29
72,Hilo,US,2022-06-04 03:14:52,19.7297,-155.09,88.29,83,20,8.05
73,Nikolskoye,RU,2022-06-04 03:14:52,59.7035,30.7861,52.79,94,47,6.51
74,Torez,UA,2022-06-04 03:14:53,48.0388,38.5969,63.81,87,55,8.86
75,Conceicao Do Araguaia,BR,2022-06-04 03:14:54,-8.2578,-49.2647,72.79,58,47,0.94
76,Alofi,NU,2022-06-04 03:14:54,-19.0595,-169.9187,78.91,80,14,15.19
77,Saint-Marc,HT,2022-06-04 03:14:55,19.1082,-72.6938,82.98,71,95,0.98
78,Takoradi,GH,2022-06-04 03:14:55,4.8845,-1.7554,77.95,86,98,6.33
79,Yemelyanovo,RU,2022-06-04 03:14:56,56.1681,92.6767,38.21,93,40,8.95
80,Saint Anthony,US,2022-06-04 03:14:57,45.0205,-93.218,60.66,53,0,3.44
81,Chokurdakh,RU,2022-06-04 03:14:57,70.6333,147.9167,51.12,34,9,10.22
82,Lasa,IT,2022-06-04 03:14:58,46.6166,10.7002,56.7,88,7,1.66
83,Farafenni,GM,2022-06-04 03:14:58,13.5667,-15.6,80.04,66,4,13.2
84,Kadoma,JP,2022-06-04 03:14:59,34.7333,135.5833,82.18,29,34,6.78
85,Tessalit,ML,2022-06-04 03:15:00,20.1986,1.0114,90.43,9,0,15.21
86,Port Lincoln,AU,2022-06-04 03:15:00,-34.7333,135.8667,59.43,70,31,24.74
87,Beyneu,KZ,2022-06-04 03:15:01,45.3167,55.2,78.82,18,68,3.62
88,Tvoroyri,FO,2022-06-04 03:15:02,61.5556,-6.8111,48.42,92,94,18.92
89,Ancud,CL,2022-06-04 03:15:02,-41.8697,-73.8203,48.36,93,100,11.97
90,Baykit,RU,2022-06-04 03:15:03,61.67,96.37,41.2,75,98,8.32
91,Clyde River,CA,2022-06-04 03:15:04,70.4692,-68.5914,30.43,93,100,10.36
92,Longyearbyen,SJ,2022-06-04 03:16:04,78.2186,15.6401,44.44,76,75,2.3
93,Kruisfontein,ZA,2022-06-04 03:16:05,-34.0033,24.7314,50.88,62,33,6.4
94,Kodiak,US,2022-06-04 03:16:05,57.79,-152.4072,71.11,24,0,5.75
95,Provideniya,RU,2022-06-04 03:16:06,64.3833,-173.3,52.39,56,100,6.38
96,Ilulissat,GL,2022-06-04 03:16:07,69.2167,-51.1,35.62,80,58,0.0
97,Palembang,ID,2022-06-04 03:13:21,-2.9167,104.7458,84.29,79,20,3.44
98,Demir Kapija,MK,2022-06-04 03:16:12,41.405,22.2489,66.45,84,6,4.34
99,Xuddur,SO,2022-06-04 03:16:12,4.1213,43.8894,67.95,91,6,14.5
100,Severo-Kurilsk,RU,2022-06-04 03:16:13,50.6789,156.125,45.88,81,91,7.45
101,Simbahan,PH,2022-06-04 03:16:13,6.3032,120.5836,83.28,66,45,1.32
102,Saskylakh,RU,2022-06-04 03:16:13,71.9167,114.0833,45.39,91,100,7.18
103,Sawtell,AU,2022-06-04 03:16:14,-30.3833,153.1,69.19,56,7,10.36
104,Ahipara,NZ,2022-06-04 03:16:14,-35.1667,173.1667,61.48,59,48,4.54
105,Bonavista,CA,2022-06-04 03:16:15,48.6499,-53.1147,38.88,93,87,22.26
106,Dicabisagan,PH,2022-06-04 03:16:15,17.0818,122.4157,89.29,63,100,9.89
107,Lodja,CD,2022-06-04 03:16:16,-3.4833,23.4333,67.77,72,25,2.55
108,Pavlohrad,UA,2022-06-04 03:16:16,48.5167,35.8667,61.03,94,2,8.81
109,Port Macquarie,AU,2022-06-04 03:16:17,-31.4333,152.9167,67.89,49,0,9.89
110,Saint-Augustin,CA,2022-06-04 03:16:17,51.226,-58.6502,43.61,84,100,10.0
111,Port Alfred,ZA,2022-06-04 03:16:18,-33.5906,26.891,61.12,39,7,8.5
112,Galle,LK,2022-06-04 03:15:18,6.0367,80.217,80.38,84,98,12.77
113,Calvia,ES,2022-06-04 03:16:18,39.5657,2.5062,71.08,84,85,1.03
114,Uray,RU,2022-06-04 03:16:19,60.1247,64.7758,41.11,54,11,10.69
115,Lagoa,PT,2022-06-04 03:16:19,39.05,-27.9833,63.18,92,100,11.79
116,Xining,CN,2022-06-04 03:16:20,36.6167,101.7667,58.41,60,100,3.76
117,Porangatu,BR,2022-06-04 03:16:20,-13.4408,-49.1486,70.81,41,81,2.26
118,Hasaki,JP,2022-06-04 03:16:21,35.7333,140.8333,75.29,65,8,11.12
119,Hamilton,US,2022-06-04 03:15:21,39.1834,-84.5333,69.42,62,20,8.05
120,Vila Velha,BR,2022-06-04 03:13:46,-20.3297,-40.2925,71.94,87,100,14.0
121,Xiongzhou,CN,2022-06-04 03:16:22,25.1167,114.3,82.76,80,100,4.54
122,Aasiaat,GL,2022-06-04 03:16:22,68.7098,-52.8699,28.69,77,66,8.55
123,Saint-Pierre,RE,2022-06-04 03:12:55,-21.3393,55.4781,73.08,73,0,20.71
124,Touros,BR,2022-06-04 03:16:24,-5.1989,-35.4608,75.04,91,99,6.73
125,Oranjemund,NA,2022-06-04 03:16:25,-28.55,16.4333,57.45,45,35,4.03
126,Rome,US,2022-06-04 03:14:30,34.257,-85.1647,72.3,80,0,4.61
127,Bredasdorp,ZA,2022-06-04 03:16:26,-34.5322,20.0403,50.13,91,45,5.79
128,Rawson,AR,2022-06-04 03:16:26,-43.3002,-65.1023,50.31,55,99,26.89
129,Horoatu Crasnei,RO,2022-06-04 03:16:27,47.1333,22.8833,61.43,86,83,4.83
130,Hithadhoo,MV,2022-06-04 03:16:28,-0.6,73.0833,83.52,70,98,8.57
131,Carnot,CF,2022-06-04 03:16:28,4.9409,15.8665,68.2,98,69,2.51
132,Puerto Baquerizo Moreno,EC,2022-06-04 03:16:29,-0.9,-89.6,70.48,89,99,10.96
133,Arica,CL,2022-06-04 03:16:29,-18.475,-70.3042,59.23,77,0,3.44
134,Otjiwarongo,NA,2022-06-04 03:16:30,-20.4637,16.6477,46.27,54,0,11.21
135,Cooma,AU,2022-06-04 03:16:30,-36.2333,149.1333,51.57,57,7,17.27
136,Komsomolskiy,UZ,2022-06-04 03:16:31,40.4272,71.7189,74.12,40,29,6.91
137,Tuatapere,NZ,2022-06-04 03:17:32,-46.1333,167.6833,49.33,71,97,1.07
138,Tuktoyaktuk,CA,2022-06-04 03:17:33,69.4541,-133.0374,32.0,86,100,12.66
139,Cape Town,ZA,2022-06-04 03:12:39,-33.9258,18.4232,59.38,84,60,2.3
140,Ashukino,RU,2022-06-04 03:17:33,56.16,37.95,51.76,80,0,6.38
141,Katsuura,JP,2022-06-04 03:17:34,35.1333,140.3,67.6,65,42,13.38
142,Hindaun,IN,2022-06-04 03:17:34,26.7167,77.0167,98.62,17,70,11.54
143,New Glasgow,CA,2022-06-04 03:17:35,45.5834,-62.6486,44.38,85,100,4.14
144,Kudahuvadhoo,MV,2022-06-04 03:17:36,2.6708,72.8944,83.25,74,100,14.2
145,Laguna,US,2022-06-04 03:17:36,38.421,-121.4238,75.45,60,0,14.97
146,Vila,PT,2022-06-04 03:17:37,42.0304,-8.1588,46.71,93,33,2.71
147,Port Hedland,AU,2022-06-04 03:17:37,-20.3167,118.5667,77.05,36,53,11.5
148,Balaka,MW,2022-06-04 03:17:38,-14.9793,34.9558,58.89,89,70,6.13
149,Banff,CA,2022-06-04 03:17:39,51.1762,-115.5698,58.23,44,100,2.3
150,Carutapera,BR,2022-06-04 03:17:40,-1.195,-46.02,74.95,93,99,3.65
151,Avanigadda,IN,2022-06-04 03:17:41,16.0215,80.9181,95.2,39,100,9.55
152,Nanma,CN,2022-06-04 03:17:41,36.1817,118.1583,78.13,61,100,8.03
153,Beloha,MG,2022-06-04 03:17:42,-25.1667,45.05,63.25,78,1,8.99
154,Northam,GB,2022-06-04 03:17:42,51.0333,-4.2167,56.61,77,100,18.01
155,Fortuna,US,2022-06-04 03:17:43,40.5982,-124.1573,58.93,78,20,1.01
156,Cuamba,MZ,2022-06-04 03:17:43,-14.8031,36.5372,55.44,98,18,3.04
157,Dingle,PH,2022-06-04 03:17:45,10.9995,122.6711,88.2,64,16,4.94
158,Avera,US,2022-06-04 03:17:45,33.194,-82.5271,73.54,94,99,10.31
159,Yumen,CN,2022-06-04 03:17:46,40.2833,97.2,71.96,12,28,15.5
160,Ballina,AU,2022-06-04 03:17:47,-28.8667,153.5667,70.02,64,0,13.11
161,Evensk,RU,2022-06-04 03:17:47,61.95,159.2333,52.16,71,100,8.37
162,Norman Wells,CA,2022-06-04 03:17:48,65.282,-126.8329,51.84,54,75,9.22
163,Shakawe,BW,2022-06-04 03:17:48,-18.3667,21.85,46.81,74,0,5.01
164,Grand Gaube,MU,2022-06-04 03:17:49,-20.0064,57.6608,73.8,81,53,8.99
165,Kapaa,US,2022-06-04 03:17:49,22.0752,-159.319,79.12,76,40,12.66
166,Zambezi,ZM,2022-06-04 03:17:50,-13.5432,23.1047,49.17,87,24,5.53
167,Barhi,IN,2022-06-04 03:17:51,23.9,80.8,101.73,13,93,10.2
168,Lulea,SE,2022-06-04 03:17:52,65.5842,22.1547,51.87,93,100,4.61
169,Saldanha,ZA,2022-06-04 03:17:52,-33.0117,17.9442,41.05,83,39,7.72
170,Vestmannaeyjar,IS,2022-06-04 03:17:53,63.4427,-20.2734,44.04,78,100,13.06
171,Mahroni,IN,2022-06-04 03:17:54,24.5862,78.7288,99.81,15,59,13.56
172,Clermont,FR,2022-06-04 03:17:55,49.5,2.4167,59.72,95,96,6.6
173,Raduzhnyy,RU,2022-06-04 03:17:55,62.0961,77.475,33.6,98,100,14.58
174,Mufulira,ZM,2022-06-04 03:17:56,-12.5498,28.2407,46.2,95,7,4.56
